Seed	Iterations	Most_Frequent	Frequency
2175	47	9600	2
2176	6	0000	1
2177	68	4100	2
2178	58	6100	2
2179	60	6100	2
2180	62	6100	2
2181	10	0001	1
2182	71	6100	2
2183	60	6100	2
2184	25	9600	2
2185	83	4100	2
2186	60	6100	2
2187	49	4100	2
2188	68	6100	2
2189	74	6100	2
2190	9	5600	2
2191	59	6100	2
2192	55	3317	1
2193	19	4100	2
2194	14	0000	1
2195	56	0240	1
2196	58	4100	2
2197	66	4100	2
2198	92	6100	2
2199	17	0000	1
2200	5	5600	2
2201	17	2100	2
2202	17	0005	1
2203	48	4100	2
2204	9	3600	2
2205	46	9600	2
2206	69	6100	2
2207	54	9600	2
2208	74	4100	2
2209	50	4100	2
2210	12	0005	1
2211	10	0100	2
2212	38	6100	2
2213	65	6100	2
2214	10	3600	2
2215	90	6100	2
2216	44	9600	2
2217	8	0000	1
2218	48	9600	2
2219	52	6100	2
2220	27	0000	1
2221	83	4100	2
2222	35	0000	1
2223	9	8100	2
2224	33	0000	1
2225	9	4100	2
2226	47	4100	2
2227	59	6100	2
2228	91	4100	2
2229	66	6100	2
2230	28	4100	2
2231	13	0000	1
2232	61	6100	2
2233	36	6100	2
2234	74	6100	2
2235	10	1600	2
2236	7	9600	2
2237	3	0000	1
2238	5	0028	1
2239	88	6100	2
2240	57	6100	2
2241	69	6100	2
2242	44	9600	2
2243	60	6100	2
2244	56	6100	2
2245	5	1600	2
2246	59	6100	2
2247	40	4100	2
2248	7	0001	1
2249	68	6100	2
2250	42	6100	2
2251	20	0001	1
2252	86	6100	2
2253	55	6100	2
2254	49	6100	2
2255	8	0000	1
2256	58	6100	2
2257	44	0000	1
2258	46	4100	2
2259	10	6100	2
2260	29	3296	1
2261	15	0000	1
2262	49	9600	2
2263	90	4100	2
2264	29	6100	2
2265	26	0000	1
2266	70	6100	2
2267	79	6100	2
2268	69	4100	2
2269	59	9600	2
2270	65	4100	2
2271	12	2100	2
2272	61	6100	2
2273	34	4100	2
2274	33	4100	2
2275	56	0000	1
2276	43	0000	1
2277	31	0000	1
2278	29	0000	1
2279	54	4100	2
2280	49	4100	2
2281	81	6100	2
2282	33	8100	2
2283	28	8100	2
2284	28	4100	2
2285	39	6100	2
2286	45	0000	1
2287	49	4100	2
2288	66	4100	2
2289	14	0000	1
2290	48	6100	2
2291	44	0000	1
2292	49	9600	2
2293	59	6100	2
2294	46	4100	2
2295	46	9600	2
2296	59	6100	2
2297	41	6100	2
2298	98	4100	2
2299	68	4100	2
2300	5	4100	2
2301	50	4100	2
2302	51	6100	2
2303	48	4100	2
2304	17	0000	1
2305	24	6100	2
2306	60	6100	2
2307	58	4100	2
2308	9	8100	2
2309	77	4100	2
2310	65	6100	2
2311	82	6100	2
2312	101	4100	2
2313	84	4100	2
2314	72	6100	2
2315	73	4100	2
2316	28	9600	2
2317	88	4100	2
2318	27	0000	1
2319	57	6100	2
2320	61	6100	2
2321	84	6100	2
2322	12	4100	2
2323	12	0006	1
2324	12	0000	1
2325	89	4100	2
2326	9	3600	2
2327	42	4100	2
2328	13	9600	2
2329	54	4100	2
2330	29	6100	2
2331	10	2100	2
2332	58	6100	2
2333	11	1600	2
2334	23	0000	1
2335	57	4100	2
2336	5	0100	2
2337	56	6100	2
2338	84	4100	2
2339	61	6100	2
2340	29	4100	2
2341	31	9600	2
2342	66	6100	2
2343	52	9600	2
2344	8	0000	1
2345	11	0000	1
2346	58	6100	2
2347	69	4100	2
2348	55	9600	2
2349	65	4100	2
2350	26	9600	2
2351	74	6100	2
2352	57	6100	2
2353	74	6100	2
2354	8	8100	2
2355	65	4100	2
2356	39	0000	1
2357	25	4100	2
2358	10	9600	2
2359	87	4100	2
2360	25	0000	1
2361	86	4100	2
2362	75	4100	2
2363	59	6100	2
2364	36	4100	2
2365	64	4100	2
2366	69	6100	2
2367	18	2100	2
2368	39	6100	2
2369	68	4100	2
2370	31	9600	2
