Seed1	Seed2	Iterations	Most_Frequent	Frequency
2411	4011	212	1926	2
2411	4111	219	2073	2
2411	4211	65	3620	2
2411	4311	124	9960	2
2411	4411	106	8204	2
2411	4511	132	1244	2
2411	4611	140	7580	2
2411	4711	151	5453	2
2411	4811	96	5529	2
2411	4911	52	5000	2
2411	5011	297	5608	2
2411	5111	112	0359	2
2411	5211	72	6250	2
2411	5311	101	5943	2
2411	5411	118	1590	2
2411	5511	148	0000	1
2511	1111	96	2364	2
2511	1211	163	9201	2
2511	1311	43	2919	2
2511	1411	25	6617	2
2511	1511	115	3847	2
2511	1611	151	2524	2
2511	1711	68	4181	2
2511	1811	137	2117	2
2511	1911	252	6297	2
2511	2011	116	8594	2
2511	2111	123	6975	2
2511	2211	185	2884	2
2511	2311	54	5123	2
2511	2411	108	1599	2
2511	2511	232	1671	2
2511	2611	169	8607	2
2511	2711	193	5691	2
2511	2811	90	6594	2
2511	2911	68	8507	2
2511	3011	34	5853	2
2511	3111	113	4000	1
2511	3211	29	1799	2
2511	3311	35	3166	2
2511	3411	189	2117	2
2511	3511	185	2132	2
2511	3611	102	6417	2
2511	3711	92	6000	2
2511	3811	70	5000	2
2511	3911	100	2272	2
2511	4011	161	5203	2
2511	4111	84	8376	2
2511	4211	117	3247	2
2511	4311	161	0321	2
2511	4411	150	9931	2
2511	4511	76	2897	2
2511	4611	49	1597	2
2511	4711	103	3013	2
2511	4811	133	9107	2
2511	4911	18	2800	2
2511	5011	122	6838	2
2511	5111	14	4533	2
2511	5211	139	5522	2
2511	5311	109	1189	2
2511	5411	68	4108	2
2511	5511	239	3497	2
2611	1111	101	9391	2
2611	1211	86	4749	2
2611	1311	72	0746	2
2611	1411	92	4254	2
2611	1511	140	9429	2
2611	1611	102	5897	2
2611	1711	32	4674	2
2611	1811	132	1280	2
2611	1911	67	4221	2
2611	2011	64	4556	2
2611	2111	80	7202	2
2611	2211	161	2514	2
2611	2311	95	1511	2
2611	2411	59	5111	2
2611	2511	191	1213	2
2611	2611	69	5063	2
2611	2711	34	2886	2
2611	2811	172	4767	2
2611	2911	99	7591	2
2611	3011	128	1874	2
2611	3111	184	0171	2
2611	3211	58	4400	2
2611	3311	137	1597	2
2611	3411	178	0277	2
2611	3511	30	0000	1
2611	3611	145	4336	2
2611	3711	74	7480	2
2611	3811	180	3528	2
2611	3911	67	3218	2
2611	4011	116	0850	2
2611	4111	28	2435	2
2611	4211	76	8222	1
2611	4311	152	4437	2
2611	4411	117	7307	2
2611	4511	328	7843	2
2611	4611	125	5035	2
2611	4711	145	2013	2
2611	4811	136	6536	2
2611	4911	155	5978	2
2611	5011	55	6058	2
2611	5111	206	1673	2
2611	5211	151	7520	2
2611	5311	110	1095	2
2611	5411	101	3089	2
2611	5511	122	9264	2
2711	1111	29	0559	2
2711	1211	119	8341	2
2711	1311	155	3161	2
2711	1411	106	9772	2
2711	1511	84	0000	1
2711	1611	64	5468	2
2711	1711	13	8837	2
2711	1811	58	9657	2
2711	1911	95	0671	2
2711	2011	111	8173	2
2711	2111	77	5824	2
2711	2211	6	8824	2
2711	2311	101	7650	2
2711	2411	125	9159	2
2711	2511	196	0189	2
2711	2611	191	9172	2
2711	2711	133	6255	2
2711	2811	169	6849	2
2711	2911	128	6077	2
2711	3011	153	9827	2
2711	3111	78	3798	2
2711	3211	53	5029	2
2711	3311	122	2956	2
2711	3411	222	9574	2
2711	3511	99	9225	2
2711	3611	198	5880	2
2711	3711	147	5617	2
2711	3811	79	6372	2
2711	3911	128	9077	2
2711	4011	101	3406	2
2711	4111	162	0059	2
2711	4211	67	4942	2
2711	4311	86	5455	2
2711	4411	26	0062	2
2711	4511	21	5478	2
2711	4611	179	7425	2
2711	4711	117	6398	2
2711	4811	53	2194	2
2711	4911	220	9722	2
2711	5011	14	0209	2
2711	5111	9	2000	2
2711	5211	120	1188	2
2711	5311	55	5553	1
2711	5411	15	1250	2
2711	5511	153	7154	2
2811	1111	85	2104	2
2811	1211	186	2094	2
2811	1311	127	6648	2
2811	1411	16	0857	2
2811	1511	78	5784	2
2811	1611	174	9640	2
2811	1711	30	7172	2
2811	1811	67	8713	2
2811	1911	36	4664	2
2811	2011	142	6627	2
2811	2111	215	8750	2
2811	2211	110	0000	1
2811	2311	137	5619	2
2811	2411	185	5524	2
2811	2511	128	2595	2
2811	2611	127	6816	2
2811	2711	91	0707	2
2811	2811	91	3750	2
2811	2911	36	1612	2
2811	3011	44	2973	2
2811	3111	121	8614	2
2811	3211	127	5710	2
2811	3311	156	2924	2
2811	3411	117	8914	2
2811	3511	198	2128	2
2811	3611	136	3365	2
2811	3711	75	8056	2
2811	3811	18	0000	1
2811	3911	141	0842	2
2811	4011	170	1962	2
2811	4111	51	6798	2
2811	4211	186	6704	1
2811	4311	12	1299	2
2811	4411	113	4916	2
2811	4511	75	7556	2
2811	4611	95	4962	2
2811	4711	49	0697	2
2811	4811	136	1482	2
2811	4911	78	3129	2
2811	5011	80	2800	2
2811	5111	188	8350	2
2811	5211	33	4615	2
2811	5311	115	1377	2
2811	5411	177	4078	2
2811	5511	161	0807	2
2911	1111	149	6010	2
2911	1211	119	5000	2
2911	1311	54	7954	2
2911	1411	157	9313	2
2911	1511	146	1770	2
2911	1611	73	3039	2
2911	1711	125	1795	2
2911	1811	105	4336	2
2911	1911	192	7042	2
2911	2011	50	0300	2
2911	2111	75	9333	2
2911	2211	46	0195	2
2911	2311	142	6070	2
2911	2411	93	4795	2
2911	2511	55	2064	2
2911	2611	68	4069	2
2911	2711	89	7764	2
2911	2811	143	5317	2
2911	2911	173	2882	2
2911	3011	165	4273	2
2911	3111	217	0583	2
2911	3211	142	7435	2
2911	3311	47	9676	2
2911	3411	8	2252	2
2911	3511	105	2549	2
2911	3611	125	8900	2
2911	3711	74	4412	2
2911	3811	40	8355	2
2911	3911	87	8467	2
2911	4011	137	4822	2
2911	4111	55	0763	2
2911	4211	100	0000	1
2911	4311	145	8354	2
2911	4411	166	0186	2
2911	4511	66	2579	2
2911	4611	117	3613	2
2911	4711	59	7137	2
2911	4811	96	7500	2
2911	4911	94	8348	2
2911	5011	34	7007	2
2911	5111	115	1582	2
2911	5211	101	3334	2
2911	5311	53	3918	2
2911	5411	95	2149	2
2911	5511	147	1548	2
3011	1111	119	0055	2
3011	1211	212	5064	2
3011	1311	167	8596	2
3011	1411	73	5408	2
3011	1511	121	8970	2
3011	1611	78	3170	2
3011	1711	43	0400	2
3011	1811	147	6330	2
3011	1911	202	5802	2
3011	2011	21	2500	2
3011	2111	66	1754	2
3011	2211	149	1658	2
3011	2311	144	1616	2
3011	2411	122	4323	2
3011	2511	80	0921	2
3011	2611	38	2514	2
3011	2711	220	9831	2
3011	2811	166	2300	2
3011	2911	119	1903	2
3011	3011	142	4983	2
3011	3111	86	8020	2
3011	3211	199	4738	2
3011	3311	83	8239	2
3011	3411	129	0321	2
3011	3511	110	8148	2
3011	3611	47	0000	1
3011	3711	32	5598	2
3011	3811	90	8640	2
3011	3911	202	8429	2
3011	4011	92	7521	2
3011	4111	68	2000	2
3011	4211	63	9520	2
3011	4311	145	9438	2
3011	4411	138	5766	2
3011	4511	185	8487	2
3011	4611	273	0364	2
3011	4711	143	9234	2
